sample_key,site,analyst,conc_blanked,conc_blanked_error,conc_unblanked,conc_unblanked_error
10,F,CYT,1.9881782986226941,NA,3.188105070926878,NA
12,F,DJHR,6.844194463675145,NA,7.949217655151009,NA
13,QC,DJHR,37.06732181206065,5.295348396738762,38.18989445715708,5.13128875100994
14,D,CAG,12.091669207413323,5.825272902414839,13.384931503273894,5.622800966117635
15,QC,CAG,44.9765063873831,6.111697074340517,46.283934857033984,5.917621995875269
16,F,JHV,12.259301696247334,5.250257396347942,13.423168218443005,5.068728509342583
17,QC,JHV,50.023788356212336,5.642787463131084,51.174439539189066,5.48209385180016
18,D,SJB,9.682644420629329,5.022690986088871,10.81369741571535,4.843125611510281
19,QC,SJB,50.49259485454228,5.685999522775053,51.638432856100025,5.527982179393091
21,D,MD,4.730959175043646,5.47094211624817,5.96726572661013,5.273156903006867
22,E,SEP,18.258700907472445,4.834856129638272,19.330059438928927,4.668714371455001
23,QC,SEP,50.71664243416511,7.726409104071637,52.350162473875976,7.48810962264863
24,C,SGB,45.400236164212394,5.547339145051109,46.53740854734253,5.387461180303281
26,C,AWB,22.342139316276583,5.172029317864902,23.437564994246102,5.010513198581027
27,QC,AWB,45.801301372809895,5.1467938729864935,46.87430023586163,4.993743872941638
38,C,GB,31.85210745704669,6.097946801215273,33.1398212156559,5.908246007816084
39,QC,GB,41.44191021155116,5.305684446192818,42.569036444278,5.140671225377276
40,B,AB,15.8410091170209,5.658566611985621,17.107704787880667,5.458917463081642
41,B,LF,17.1636059518153,5.361128783397896,18.365451528276072,5.172003976116105
44,QC,KAD,64.39173244515747,6.226693705247468,65.64056216861441,6.055013411904183
45,B,KAD,17.604808037507865,5.0924042109643635,18.74320553256198,4.913939515473731
46,A,LML,24.399205958593033,4.8785335488138974,25.461883281292973,4.717504068836069
47,QC,LML,56.89683107395628,5.359647341155093,57.979591958847664,5.211452265115481
48,A,AH,32.77590505659886,5.365058981451376,33.91089579174185,5.198857946554858
51,C,LG,9.520203081100597,5.167637740531366,10.686004479147767,4.982154749952914
52,B,MF,7.057998617523999,2.1870737803301807,7.538934669203125,2.1172123107015763
53,QC,MF,27.978727550125672,3.0971671751533982,28.51723397458231,3.0415724627984813
54,A,LAK,15.616436216871344,4.586986440761226,16.639304403362,4.427511040460739
56,A,AVM,19.356792005272037,5.387776271199402,20.547718266403265,5.203162892581566
57,QC,AVM,55.723381975948904,5.85234186037164,56.879267874533554,5.6966806650192385
58,B,SS,19.85560908949875,4.854972956775133,20.933351660774495,4.68788256868683
59,QC,SS,54.97895586635423,5.257248335460236,56.04932655570255,5.109486693087795
6,C,MRMJ,23.132251597403098,5.439674420364011,24.300305526634446,5.264588255678217
8,E,ARG,8.320914333494388,NA,9.583914140696718,NA
